# timestamps [seconds],pts
448968.798287,730885
448968.806356,731414
448968.814426,731943
448968.822495,732471
448968.830564,733000
448968.838633,733529
448968.846702,734058
448968.854771,734587
448968.862841,735115
448968.870910,735644
448968.878979,736173
448968.887048,736702
448968.895117,737231
448968.903186,737759
448968.911256,738288
448968.927394,739346
448968.935463,739875
448968.943532,740404
448968.951601,740932
448968.959671,741461
448968.967740,741990
448968.975809,742519
448968.983878,743048
448968.991947,743576
448969.000016,744105
448969.008085,744634
448969.016155,745163
448969.024224,745692
448969.032293,746220
448969.040362,746749
448969.048431,747278
448969.056500,747807
448969.064570,748336
448969.072639,748865
448969.080708,749393
448969.088777,749922
448969.096846,750451
448969.104915,750980
448969.112985,751509
448969.121054,752037
448969.129123,752566
448969.137192,753095
448969.145261,753624
448969.153330,754153
448969.161400,754681
448969.169469,755210
448969.177538,755739
448969.185607,756268
448969.193676,756797
448969.201745,757325
448969.209815,757854
448969.217884,758383
448969.225953,758912
448969.234022,759441
448969.242091,759970
448969.250160,760498
448969.258230,761027
448969.266299,761556
448969.274368,762085
448969.282437,762614
448969.290506,763142
448969.298575,763671
448969.306645,764200
448969.314714,764729
448969.322783,765258
448969.330852,765787
448969.338921,766315
448969.346990,766844
448969.355060,767373
448969.363129,767902
448969.371198,768431
448969.379267,768959
448969.387336,769488
448969.395405,770017
448969.403475,770546
448969.411544,771075
448969.419613,771603
448969.427682,772132
448969.435751,772661
448969.443820,773190
448969.451889,773719
448969.459959,774248
448969.468028,774776
448969.476097,775305
448969.484166,775834
448969.492235,776363
448969.500304,776892
448969.508374,777420
448969.516443,777949
448969.524512,778478
448969.532581,779007
448969.540650,779536
448969.548719,780064
448969.556789,780593
448969.564858,781122
448969.572927,781651
448969.580996,782180
448969.589065,782709
448969.597134,783237
448969.605204,783766
448969.613273,784295
448969.621342,784824
448969.629411,785353
448969.637480,785881
448969.645549,786410
448969.653619,786939
448969.661688,787468
448969.669757,787997
448969.677826,788525
448969.685895,789054
448969.693964,789583
448969.702034,790112
448969.710103,790641
448969.718172,791170
448969.726241,791698
448969.734310,792227
448969.742379,792756
448969.750449,793285
448969.758518,793814
448969.766587,794342
448969.774656,794871
448969.782725,795400
448969.790794,795929
448969.798863,796458
448969.806933,796986
448969.815002,797515
448969.823071,798044
448969.831140,798573
448969.839209,799102
448969.847279,799631
448969.855348,800159
